k-ua-z^	0-0-0	กัวะ
k-ii-t^	11-8-0	กีส,กีซ,กีด,กีฏ,กีต,กีติ

khw-ii-t^	11-8-23	ควีซ,ควีด

khl-ii-t^	11-8-24	คลีส,คลีต

kh-ii-t^	11-8-10	ขีต,ขีช,ขีด,คีท,คีซ,คีต,คีติ,คีช,คีธ

ng-ii-t^	11-8-25	งีด,งีซ

c-ii-t^	11-8-1	จีด,จีทร,จีส,จีจ

ch-ii-t^	11-8-2	ฉีด,ชีด,ชีช,ชีต,ชีตส์,ชีส

d-ii-t^	11-8-13	ดีท,ดีช,ดีด,ดีซ,ดีส,ดีต,ดีทซ์

dr-ii-t^	11-8-34	ดรีด

tr-ii-t^	11-8-14	ตรีศ,ตรีท,ตรีส

t-ii-t^	11-8-3	ตีตร,ตีด,ตีช,ตีท,ตีทร,ตีทอล์,ตีจ,ตีส

th-ii-t^	11-8-16	ทีช,ธีซ,ถีถ,ทีส,ทีด,ทีท,ทีจ,ทีธ,ธีศ

b-ii-t^	11-8-30	บีท,บีด,บีช,บีซ,บีทร,บีจ,บีจอร์,บีส,บีสท์,บีสต์,บีต,บีฑ

pr-ii-t^	11-8-17	ปรีซ,ปรีดด์,ปรีติ,ปรีช

p-ii-t^	11-8-12	ปีติ,ปีย์ช,ปีส,ปีด,ปีศ,ปีว์ช

m-ii-t^	11-8-21	มีด,มีสท์,มีช,มีต

n-ii-t^	11-8-15	ณีท,ณีช,ณีสงฆ์,ณีต,นีท,ณีธ,หนีด,นีส,นีต,นีติ,นีซ,นีถ,นีช,นีชร,นีธ,หนีส

w-ii-t^	11-8-20	วีด,วีซ,หวีด,วีศ,วีธ,วีช,วีต,วีรท,วีส,วีท,วีทส์,วีถ

r-ii-t^	11-8-9	รีส,รีฑ,รีซ,รีธ,รีด,รีต,หรีด,รีท,รีศ,รีดด์,รีช,รีติ,รีส์ด,รีย์ช,รีย์ศ,รีดจ์,รีตน์,รีสอร์

h-ii-t^	11-8-28	ฮีด,ฮีธ,ฮีต,ฮีร์ช,ฮีท,ฮีส

z-ii-t^	11-8-27	อีสซ์,อีสต์,อีสท์,อีท,อีซ,อีร์ด,อีด,อีศ,อีจ

s-ii-t^	11-8-19	ซีสต์,ซีซ,ซีท,ซีด,สรีธ,สีด,ทรีส,สีส,ศรีส,ศรีธ,ศรีช,ศีศ,ศีต,ษีจ,สีต

l-ii-t^	11-8-4	ลีต,ลีส,ลีซ,ลีย์ถ,ลีย์ต,ลีด,ลีดส์,ลีสส์,ลีสต์

j-ii-t^	11-8-7	ยีส,ยีสต์

ph-ii-t^	11-8-6	ภีต,ภีษ,ผีต,พีท,พีซ,ภีศ

f-ii-t^	11-8-18	ฟีด,ฟีจ,ฟีห์จ,ฟีช

fr-ii-t^	11-8-36	ฟรีด,ฟรีดจ์

kr-ii-p^	11-2-8	กรีฟ,กรีฟส์

kl-ii-p^	11-2-31	กลีบ

k-ii-p^	11-2-0	กีบ,กีฟท์

khr-ii-p^	11-2-11	ครีบ

kh-ii-p^	11-2-10	ขีบ,ขีป,คีฟ,คีภ,คีย์บ,คีบ

ng-ii-p^	11-2-25	งีบ

c-ii-p^	11-2-1	จีบ,จีป,จีพ

ch-ii-p^	11-2-2	ชีพ,ชีร์พ,ชีป,ชีฟ,ชีฟส์

d-ii-p^	11-2-13	ฎีบ,ดีป,ดีพ,ดีพงศ์,ดีส์ป,ดีบ,ดีฟ,ดีฟส์,ดีฟฟ์

tr-ii-p^	11-2-14	ตรีภ,ตรีป,ตรีบ

t-ii-p^	11-2-3	ตีฟฟ์,ตีบ,ตีพ,ตีป

th-ii-p^	11-2-16	ทีฟส์,ทีฟท์,ทีบ,ทีป,ทีพ,ถีพ,ถีบ,ธีพ,ธีบ,ธีบส์,ทีปต์

b-ii-p^	11-2-30	บีพ,บีบ,บีฟ,บีป

p-ii-p^	11-2-12	ปีพ,ปีบ,ปีป

j-ii-p^	11-2-7	ญีป,ยีป

l-ii-p^	11-2-4	ลีบ,ลีฟ,ลีพ,ลีป

n-ii-p^	11-2-15	ณีบ,ณีปร,ณีพงษ์,หนีบ,นีย์พ,นีป,นีปร,นีพ,นีพงษ์,นีฟ

r-ii-p^	11-2-9	รีบ,รีฟส์,หรีป,รีภ,รีพ,รีบอร์,รีปร,หรีบ

h-ii-p^	11-2-28	หีบ,ฮีบ

z-ii-p^	11-2-27	อีบ,อีฟส์,อีฟว์

m-ii-p^	11-2-21	มีภ,หมีพ,มีป,มีบ

s-ii-p^	11-2-19	ซีป,ซีพ,สรีภ,ศรีพ,ศรีป,ศรีปร,สีป,สีปร,สีบ

w-ii-p^	11-2-20	วีฟ,วีป,วีพ,วีฟร์

ph-ii-p^	11-2-6	พีภ,พีร์พ,ภีพงษ์

f-ii-p^	11-2-18	ฝีป,ฟีปร,ฟีฟ

phl-ii-p^	11-2-5	พลีพ

ng-ii-ng^	11-4-25	งีง

d-ii-ng^	11-4-13	ดีง

p-ii-ng^	11-4-12	ปีง

h-ii-ng^	11-4-28	ฮีง

k-ii-w^	11-5-0	กีว

ch-ii-w^	11-5-2	ชีว

c-ii-w^	11-5-1	จีว

ph-ii-w^	11-5-6	พีว

t-ii-w^	11-5-3	ตีว

th-ii-w^	11-5-16	ทีว,ถีว,ธีว

n-ii-w^	11-5-15	ณีว,นีว,นีย์ว

b-ii-w^	11-5-30	บีว

p-ii-w^	11-5-12	ปีว

w-ii-w^	11-5-20	วีว,วีร์ว

s-ii-w^	11-5-19	สีว,ศรีว

h-ii-w^	11-5-28	ฮีว

l-ii-w^	11-5-4	ลีย์ว,ลีว

r-ii-w^	11-5-9	รีว

kr-ii-j^	11-1-8	กรีย

kw-ii-j^	11-1-22	กวีย

kl-ii-j^	11-1-31	กลีย

k-ii-j^	11-1-0	กียรต์,กียติ์,กียร์,กียห์

khr-ii-j^	11-1-11	ครีย

khl-ii-j^	11-1-24	คลีย,คลียร์

kh-ii-j^	11-1-10	คีย,ฆีย,ขีย,คียวร์,คียร์

ng-ii-j^	11-1-25	งีย

c-ii-j^	11-1-1	จรีย,จียห์,จียร์

ch-ii-j^	11-1-2	ฉีย,ชียนส์,ชียร์

d-ii-j^	11-1-13	ดีย,ดีส์ย,ดียร์,ดียส์,ดียนส์

tr-ii-j^	11-1-14	ตรีย

t-ii-j^	11-1-3	ตีย,ตียร์

th-ii-j^	11-1-16	ฑีย,ฐีย,ธียนส์,ถีย,ทีย,ทียนซ์,ทียร์,ธียร์

br-ii-j^	11-1-26	บรีย

bl-ii-j^	11-1-35	บลีย

b-ii-j^	11-1-30	บียร์,บียอร์,บียอห์

pr-ii-j^	11-1-17	ปรีย

p-ii-j^	11-1-12	ปียนส์,ปียรส์,ปียร์

pl-ii-j^	11-1-33	ปลีย

s-ii-j^	11-1-19	ซีย,สีย,ษีย,สรีย,ซียร์,ซียรส์,ซียห์,ทรีย,ศรีย,ศีย

l-ii-j^	11-1-4	ลียร์,หลีย,ลียนส์,ลียมส์,ลีย์ย,ลียส์

n-ii-j^	11-1-15	ณีย,นีย,หนีย,นียมห์,นียร์,นียลส์

w-ii-j^	11-1-20	วีย,หวีย,วียร์,วียล์

r-ii-j^	11-1-9	รีย,หรีย,รียนท์,รียนซ์,รียส์,รียร์,รียค์

j-ii-j^	11-1-7	ยียส์,ยียร์,หยีย

z-ii-j^	11-1-27	อีย,อียร์

h-ii-j^	11-1-28	หีย,ฮียร์

m-ii-j^	11-1-21	มียร์,หมีย

ph-ii-j^	11-1-6	พียร์,ภีย

f-ii-j^	11-1-18	ฟีย,ฟียร์

fr-ii-j^	11-1-36	ฟรีย

fl-ii-j^	11-1-32	ฟลีย

phl-ii-j^	11-1-5	พลีย

phr-ii-j^	11-1-29	พรีย

kr-ii-z^	11-0-8	กรีย์,กรีฟส์

kw-ii-z^	11-0-22	กวี

kl-ii-z^	11-0-31	กลี,กลีย์

k-ii-z^	11-0-0	กีส์,กีฟท์,กียร์,กีย์,กียห์,กีร์,กีห์

khr-ii-z^	11-0-11	ครีย์,ครีนส์,ครีกซ์

khw-ii-z^	11-0-23	ควี,ควีนส์

khl-ii-z^	11-0-24	คลีย์,คลียร์,คลีนด์,คลีส์

kh-ii-z^	11-0-10	คีย์,ฆี,ขี,คียร์,คีร์,คีลล์

c-ii-z^	11-0-1	จี,จีส์,จรี,จรีย์,จีนส์,จียร์,จียห์,จีร์

ch-ii-z^	11-0-2	ชี,ฌี,ฉี,ชียร์,ชีย์,ชีฟส์,ชีตส์,ชีส์,ชีร์,ชีลด์,ชีกห์,ชีห์,ชีคห์

d-ii-z^	11-0-13	ดี,ดีฟฟ์,ฎี,ดีย์,ดียร์,ดียส์,ดีส์,ดีทซ์,ดีนส์,ดีมร์,ดีร์,ดีฟส์,ดียฺ

dr-ii-z^	11-0-34	ดรี

tr-ii-z^	11-0-14	ตรี,ตรีส์,ตรีย์

br-ii-z^	11-0-26	บรี

bl-ii-z^	11-0-35	บลี,บลีย์

b-ii-z^	11-0-30	บี,บีร์,บียร์,บีย์,บีนส์,บีสท์,บีส์,บีสต์

p-ii-z^	11-0-12	ปี,ปีส์,ปีย์,ปียร์,ปีร์,ปีว์

ph-ii-z^	11-0-6	ผี,พี,ภีย์,พียร์,พีย์,พีร์,ภีร์

t-ii-z^	11-0-3	ตีส์,ตีฟฟ์,ตีต์,ตียร์,ตีลส์,ฏี

s-ii-z^	11-0-19	ศี,สีย์,ซี,ษี,สรีย์,ซีย์,สีห์,ซียร์,ซียห์,ซีส์,ซีสต์,ซีลส์,ซีร์,ทรี,ทรีย์,ทรีส์,ศรี,ศีต์,สรีร์

n-ii-z^	11-0-15	นีย์,ณี,หนี,ณีย์,นียร์,นีส์,นีลส์,นีลล์,นีห์

ng-ii-z^	11-0-25	งี,หงี

j-ii-z^	11-0-7	ญี,ยี,หยี,ยีห์,ยียร์,ยียส์,ยีนส์,ยีสต์,ยีร์

th-ii-z^	11-0-16	ธีร์,ถี,ฑี,ฐี,ที,ถีย์,ทียร์,ทีย์,ทีฆ์,ทีฟท์,ทีฟส์,ธียร์,ธีย์,ธีบส์,ทีฯ

f-ii-z^	11-0-18	ฟี,ฝี,ฟีลล์,ฟีย์,ฟียร์,ฟีห์,ฟีร์

h-ii-z^	11-0-28	หี,ฮี,ฮีลต์,ฮียร์,ฮีห์,ฮีร์

z-ii-z^	11-0-27	อี,อีฟส์,อียร์,อีสท์,อีสต์,อีสซ์,อีร์,อีฟว์

l-ii-z^	11-0-4	ลีส์,ลีย์,ฬี,ลียร์,ลียส์,ลีกส์,ลีนส์,ลีนด์,ลีดส์,ลีสส์,ลีสต์,ลีห์,หลี

r-ii-z^	11-0-9	รีย์,หรี,รีส์,รีด์,รีซ์,รียส์,รียร์,รียค์,รีดิ์,รีดด์,รีดจ์,รีตน์,รีร์,รีนส์,รีกซ์,รีฟส์,รีญ์

w-ii-z^	11-0-20	วีร์,หวี,วีณ์,วีย์,วียร์,วียล์,วีคส์,วีนส์,วีส์,วีลล์,วีฟร์,วีทส์

m-ii-z^	11-0-21	มี,หมี,มีนซ์,มียร์,มีย์,มีร์,มีส์,มีสท์,มีคส์,มีลล์

fr-ii-z^	11-0-36	ฟรีย์,ฟรีดจ์

fl-ii-z^	11-0-32	ฟลี,ฟลีย์

phl-ii-z^	11-0-5	ผลี,พลี

phr-ii-z^	11-0-29	พรี

pl-ii-z^	11-0-33	ปลี,ปลีย์

pr-ii-z^	11-0-17	ปรีย์,ปรีซ์,ปรีดิ์,ปรีด์,ปรีดด์,ปรีช์

kr-v-ng^	12-4-8	กรึง

kl-v-ng^	12-4-31	กลึง

c-v-ng^	12-4-1	จึง

t-v-ng^	12-4-3	ตึง

k-v-ng^	12-4-0	กึง

kh-v-ng^	12-4-10	ขึง

m-v-ng^	12-4-21	มึง

khr-v-ng^	12-4-11	ครึง

khl-v-ng^	12-4-24	คลึง

th-v-ng^	12-4-16	ถึง,ทึง

ch-v-ng^	12-4-2	ฉึง,ชึง

d-v-ng^	12-4-13	ดึง,ดึงษ์,ดึงส์

dr-v-ng^	12-4-34	ดรึง

b-v-ng^	12-4-30	บึง

tr-v-ng^	12-4-14	ตรึง,ตรึงษ์,ตรึงศ์

r-v-ng^	12-4-9	รึง,รึงษ์

p-v-ng^	12-4-12	ปึง

ph-v-ng^	12-4-6	ผึง,พึง

l-v-ng^	12-4-4	ลึง,ลึงค์

s-v-ng^	12-4-19	ซึง,สึง

n-v-ng^	12-4-15	นึง,หนึง

h-v-ng^	12-4-28	หึง,หึงส์

z-v-ng^	12-4-27	อึง

phl-v-ng^	12-4-5	ผลึง,พลึง

phr-v-ng^	12-4-29	พรึง

k-v-j^	12-1-0	กึย,กึยย์

m-v-j^	12-1-21	มึย

z-v-j^	12-1-27	อึย

kr-v-z^	12-0-8	กรึ

kl-v-z^	12-0-31	กลึ

c-v-z^	12-0-1	จึ

t-v-z^	12-0-3	ตึ

b-v-z^	12-0-30	บึ

k-v-z^	12-0-0	กึ,กึยย์

khr-v-z^	12-0-11	ขรึ,ครึ

khl-v-z^	12-0-24	คลึ

kh-v-z^	12-0-10	ขึ,คึ,คฤห์

ch-v-z^	12-0-2	ฉึ,ชึ

d-v-z^	12-0-13	ดึ,ดึงษ์,ฎึ,ดึงส์

dr-v-z^	12-0-34	ดรึ

tr-v-z^	12-0-14	ตรึ,ตรึงษ์

th-v-z^	12-0-16	ถึ,ทึ,ธึ

ph-v-z^	12-0-6	ผึ,พึ

pr-v-z^	12-0-17	ปรึ

p-v-z^	12-0-12	ปึ,ปึกก์

r-v-z^	12-0-9	ฤ,รึ,รึงษ์

s-v-z^	12-0-19	ศึ,ซึ,ศึกษ์,สึ

l-v-z^	12-0-4	ลึ,หลึ,ลึงค์

m-v-z^	12-0-21	มึ,หมึ

n-v-z^	12-0-15	ณึ,นึ,หนึ

ng-v-z^	12-0-25	งึ,หงึ

j-v-z^	12-0-7	ยึ,หยึ

h-v-z^	12-0-28	หึ,ฮึ,หึงส์

z-v-z^	12-0-27	อึ,อึมม์

f-v-z^	12-0-18	ฝึ,ฟึ

fr-v-z^	12-0-36	ฟรึ

phl-v-z^	12-0-5	ผลึ,พลึ

phr-v-z^	12-0-29	พรึ

kr-v-m^	12-7-8	กรึม

r-v-m^	12-7-9	รึม

s-v-m^	12-7-19	ซึม

b-v-m^	12-7-30	บึม

k-v-m^	12-7-0	กึม

khr-v-m^	12-7-11	ขรึม,ครึม

kh-v-m^	12-7-10	คึม

ng-v-m^	12-7-25	งึม

tr-v-m^	12-7-14	ตรึม

th-v-m^	12-7-16	ทึม

ph-v-m^	12-7-6	พึม

j-v-m^	12-7-7	ยึม

l-v-m^	12-7-4	ลึม,หลึม

h-v-m^	12-7-28	หึม,ฮึม

z-v-m^	12-7-27	อึม,อึมม์

kr-v-k^	12-6-8	กรึก

r-v-k^	12-6-9	รึก

k-v-k^	12-6-0	กึก

kh-v-k^	12-6-10	คึก

khr-v-k^	12-6-11	ครึก,คฤก

d-v-k^	12-6-13	ดึก,ฎึก

ch-v-k^	12-6-2	ฉึก,ชึก

n-v-k^	12-6-15	ณึก,นึก

tr-v-k^	12-6-14	ตรึก

t-v-k^	12-6-3	ตึก,ตึกร

th-v-k^	12-6-16	ทึก,ธึก,ถึก

l-v-k^	12-6-4	ลึก

b-v-k^	12-6-30	บึก

f-v-k^	12-6-18	ฝึก

pr-v-k^	12-6-17	ปรึก

p-v-k^	12-6-12	ปึก,ปึกร,ปึกก์

phl-v-k^	12-6-5	ผลึก

phr-v-k^	12-6-29	พรึก,พฤกษ์

s-v-k^	12-6-19	ซึก,ศึก,สึก,ศึกษ์

ng-v-k^	12-6-25	งึก,หงึก

z-v-k^	12-6-27	อึก

h-v-k^	12-6-28	ฮึก

m-v-k^	12-6-21	มึก,หมึก

j-v-k^	12-6-7	ยึก

k-v-t^	12-8-0	กึด

khr-v-t^	12-8-11	ครึด,คฤษ

ng-v-t^	12-8-25	งึด

c-v-t^	12-8-1	จึด

t-v-t^	12-8-3	ตึด

th-v-t^	12-8-16	ทึด

p-v-t^	12-8-12	ปึด

ph-v-t^	12-8-6	พึด

f-v-t^	12-8-18	ฟึด

s-v-t^	12-8-19	ซึท,สึจ

phr-v-t^	12-8-29	พฤธ,พฤทธิ์,พฤฑ,พฤฒ,พฤษภ์,พฤศ,พฤติ,พฤทธ์

h-v-t^	12-8-28	ฮึด

z-v-t^	12-8-27	อึด

r-v-t^	12-8-9	รึด,หฤษฏ์,หฤท,หฤษฎ์

j-v-t^	12-8-7	ยึด

kr-v-p^	12-2-8	กรึบ

r-v-p^	12-2-9	รึบ

s-v-p^	12-2-19	ซึบ

d-v-p^	12-2-13	ดึบ

t-v-p^	12-2-3	ตึบ

th-v-p^	12-2-16	ถึบ,ทึบ

ph-v-p^	12-2-6	พึบ

b-v-p^	12-2-30	บึบ

p-v-p^	12-2-12	ปึบ

phr-v-p^	12-2-29	พรึบ

fr-v-p^	12-2-36	ฟรึบ

n-v-p^	12-2-15	นึบ,หนึบ

z-v-p^	12-2-27	อึบ

m-v-p^	12-2-21	มึบ,หมึบ

kh-v-n^	12-3-10	ขึน

b-v-n^	12-3-30	บึน

k-v-n^	12-3-0	กึน

c-v-n^	12-3-1	จึน

th-v-n^	12-3-16	ทึน

phr-v-n^	12-3-29	พฤนท์,พฤณฑ์

m-v-n^	12-3-21	มึน

l-v-n^	12-3-4	ลึน

j-v-n^	12-3-7	ยึน,หยึน

kr-a-t^	18-8-8	กรัฐ

kw-a-t^	18-8-22	กวัช,กวัด,กวัฒน์

k-a-t^	18-8-0	กรรฐ,กรรจ,กัฐิ,กัด,กัดห์,กัต,กัติ,กัส,กัสท์,กัสต์,กัท,กัทส์,กัจ,กัธ,กัซ,กัช

kl-a-t^	18-8-31	กลัด

khr-a-t^	18-8-11	ครัด

khw-a-t^	18-8-23	ควัฒน์,ควัต

khl-a-t^	18-8-24	คลัส,คลัตช์

kh-a-t^	18-8-10	ขัด,ขัต,คัส,ฆัจ,ขัติ,ขัท,ครรช,คัด,คัดส์,คัต,คัสร์,คัท,คัทธ,คัช,คัธ,คัจ

ng-a-t^	18-8-25	งัด

c-a-t^	18-8-1	จัด,จรัส,จัดจ์,จัดด์,จัส,จัสท์,จัสต์,จัต,จัตุ

ch-a-t^	18-8-2	ฉัฎฐ์,ชัฏ,ฌัฐ,ฉัต,ฉัตต์,ฉัตร,ฉัตร์,ฉัท,ฉัฐ,ชัด,ชัช,ชัชว์,ชัชจ์,ชัต,ชัตต์,ชัท,ชัจ,ชัจจ์,ชัส,ชัฎ,ชัฎฐ์,ฌัช

dr-a-t^	18-8-34	ดรัจ,ดรัด,ดรัส

d-a-t^	18-8-13	ดัทช์,ดัตช์,ดัจ,ดัด,ดัส,ดัช,ดรรช

tr-a-t^	18-8-14	ตรัส

t-a-t^	18-8-3	ตัด,ตัส,ตัถย์,ตัดท์,ตัธ,ตัจ,ตัท,ตัซ,ตัต

bl-a-t^	18-8-35	บลัช

pl-a-t^	18-8-33	ปลัด

l-a-t^	18-8-4	ลัตช์,ลัส,ลัด,หลัทร,ลัช,ลัฎ,ลัฏ,ลัทซ์,ลัทธ,ลัศ,ลัฐ,ลัฐิ,หลัด,ลัซ

n-a-t^	18-8-15	นัสต์,นัฐ,นัตถ์,นัตร์,นัช,นัท,นัด,หนัด,ณัฐ,ณัฐิ,ณัฐฏ์,ณัฎ,ณัฎฐ์,ณัต,ณัติ,ณัฏ,ณัฏฐ์,ณัท,ณัช,ณัชช์,ณัชย์,ณัส,ณัธ,นัจ,นัจน์,นัทธ,นัฎ,นัฏ,นัฏฐ์,นัธ,นัธต์,นัซ,นัศ,นรรจ,หนัต,นัทธ์,นัฎฐ์,ณัชญ์,นัตถุ์

w-a-t^	18-8-20	วัต,วัฒน์,วัช,วัด,หวัช,วัธ,วัตร,วัชร,วัชร์,วัส,วัตน์,วัชย์,วัชน์,วัธน์,วัตร์,วัตย์,วัฎ,วัฑ,วัสส์,วัฐ,วัฏ,วัจ,วัจน์,วัตถ์,วัตถิ์,วัติ,วัตต์,วัตติ์,วัตส์,วัฒก์,วัฒิ,วัสดิ์,วัสด์,วัสสิ์,วัสน์,วัสตร์,วัจจ์,วัศ,วัษ,วัท,วัทน์,วัทธ,วรรต,วรรตน์,วรรษ,วรรษข์,วรรด,วรรธ,วรรธน์,วรรท,หวัด,หวัต,หวัฒ,หวัฒน์

p-a-t^	18-8-12	ปัตย์,ปัท,ปัจจ์,ปัด,ปัศ,ปัตร,ปัติ,ปัส,ปัทม์,ปัทว์,ปัช,ปัษ,ปัฐ,ปัถ,ปัฎ,ปัฎน์,ปัฏ,ปัฏฐ์,ปัทย์

b-a-t^	18-8-30	บรรฑ,บรรจ,บรรท,บรรษ,บรรด,บัติ,บัส,บัตร,บัฏ,บัทม์,บัตร์,บัตย์,บัตต์,บัด,บัทส์,บัช,บัษ

th-a-t^	18-8-16	ธัจ,ธัต,ทรรทร,ทรรษ,ทรรศน์,ทัซ,ทัจจ์,ทัสก์,ทัสน์,ทัดส์,ทัติ,ทัตต์,ทัศย์,ทัศน์,ถัต,ถัด,ทัชน์,ฑัต,ฐัศ,ทัฏ,ธัช,ธัส,ฐัศว์,ธัด

j-a-t^	18-8-7	ยัด,ยัติ,ยัษ,ญัด,ญัตน์,ญัติ,ยัฐิ,ยัส,ยัสถ์,ยัซ,ยัช,ยัชว์,ยัชญ,หยัด,หยัช,หยัชว์,ยัตย์

h-a-t^	18-8-28	หัต,ฮัด,หัด,ฮัธ,ฮัต,หัท,หัทธ,หัศ,หัส,ฮัส,หัตถ์,หัช,หรรษ,หรรท,หัตร,หัตร์,หัสถ์,หัสต์,หัษ,หัษฐ์,หัฐ,หัถ,ฮัท,ฮัทธ,ฮัจ,ฮัจญ์,ฮัช,ฮัซ,ฮัทช์

br-a-t^	18-8-26	บรัฐ,บรัตน์,บรัด,บรัส,บรรรษ,บรัศว์

r-a-t^	18-8-9	รัตน์,รัศ,รัส,รัช,รัด,รัฐ,รัศว์,รัจ,รัชด์,รัสต์,รัสท์,รัตถ์,รัชต์,รัชน์,รัชญ,รัชญ์,รัษ,รัฐญ์,รัษฎ์,รรรษ,รัฐิ,รัฐฏ์,รัตต์,รัติ,รัตย์,รัตษ์,รัชฎ์,รัชถ์,รัชช์,รัชฏ์,รัชฌ์,รัศมิ์,รัศม์,รัษฏ์,รัท,รัทธ,รัทธ์,รัถ,รัจน์,รัจจ์,รัฎ,รัฎฐ์,รัฏ,รัฏฐ์,รัธ,รัธน์,รัซ,หรัฐ,หรัถ,หรัศ,หรัศมิ์,รัฐฯ,รัสม์

pr-a-t^	18-8-17	ปรัส,ปรัฐญ์,ปรัษ,ปรัศ,ปรัต,ปรัด,ปรัชต์,ปรัชญ์,ปรัศว์

z-a-t^	18-8-27	อัถ,อัด,อัฎ,อัต,อัตร,อัฐ,อัท,อัส,อัซ,อรรถ,อรรจ,อรรจน์,อัตถ์,อัทธ,อัทธ์,อัจ,อัศ,อัศว์,อัศม์,อัษ,อัฏ,อัธ,อัฐิ,อัช,อัถต์,อัฒ,อัฑ,อัฑฒ์
